order_id,product_id,date,quantity,price_order,base_price_order,total_amount,region,customer_id,discount_pct,payment_method,shipping_status,channel,is_weekend,month,anomaly_flag,anomaly_reason,promotion_flag,order_date,product_name,product_description,category,brand,base_price_product,price_product,margin_pct,launch_date,popularity_score,return_policy,faq_question,faq_answer,review,age,gender,location,region_customer,segment,purchase_frequency,signup_days,discount_sensitivity,preferred_channel,price,base_price,customer_region,order_region,order_day,order_month,order_weekday,year,month_period
O01902,P014,2025-01-01,3,13617.54,13520.0,40852.62,South,C0179,0,UPI,Shipped,Mobile App,0,1,0,normal,0,2025-01-01,Dell Electronics Product 014,Dell Electronics Product 014 designed for reliable retail use.,Electronics,Dell,13520.0,13520.0,0.233,2024-03-24 00:00:00,0.0127281368821292,10 days return,How long does delivery take?,Delivery usually takes 2 to 5 business days.,Average product but acceptable for the price.,30,Female,Hyderabad,South,Regular,1.23,804,0.595,Web,13617.54,13520.0,South,South,1,1,2,2025,2025-01
O02735,P074,2025-01-01,20,6833.32,2940.0,136666.4,West,C0093,0,Debit Card,Delivered,Mobile App,0,1,1,high_value_order,0,2025-01-01,Zara Fashion Product 074,Zara Fashion Product 074 designed for reliable retail use.,Fashion,Zara,2940.0,2940.0,0.246,2025-03-16 00:00:00,0.0088688212927756,7 days replacement,Is cash on delivery available?,Returns are accepted if product is unused.,Average product but acceptable for the price.,40,Female,Mumbai,West,Loyal,5.55,114,0.394,Mobile App,6833.32,2940.0,West,West,1,1,2,2025,2025-01
O02896,P052,2025-01-01,2,3638.97,4710.0,7277.94,West,C0134,20,UPI,Delivered,Mobile App,0,1,0,normal,1,2025-01-01,Lenovo Electronics Product 052,Lenovo Electronics Product 052 designed for reliable retail use.,Electronics,Lenovo,4710.0,4710.0,0.241,2024-03-04 00:00:00,0.0178802281368821,15 days return,Is this product eligible for return?,COD may be available depending on region.,Fast delivery and product matched description.,39,Male,Pune,West,Regular,2.15,330,0.55,Web,3638.97,4710.0,West,West,1,1,2,2025,2025-01
O02996,P065,2025-01-01,2,160.09,180.0,320.18,North,C0181,10,UPI,Delivered,Mobile App,0,1,0,normal,0,2025-01-01,Lakme Beauty Product 065,Lakme Beauty Product 065 designed for reliable retail use.,Beauty,Lakme,180.0,180.0,0.107,2025-05-17 00:00:00,0.0111026615969581,15 days return,Is cash on delivery available?,Warranty depends on category and seller policy.,Average product but acceptable for the price.,22,Male,Noida,North,Loyal,5.47,785,0.591,Mobile App,160.09,180.0,North,North,1,1,2,2025,2025-01
O03020,P052,2025-01-01,2,4487.02,4710.0,8974.04,East,C0081,5,Debit Card,Returned,Web,0,1,0,normal,0,2025-01-01,Lenovo Electronics Product 052,Lenovo Electronics Product 052 designed for reliable retail use.,Electronics,Lenovo,4710.0,4710.0,0.241,2024-03-04 00:00:00,0.0178802281368821,15 days return,Is this product eligible for return?,COD may be available depending on region.,Fast delivery and product matched description.,26,Male,Guwahati,East,Premium,4.91,821,0.29,Mobile App,4487.02,4710.0,East,East,1,1,2,2025,2025-01
O03236,P014,2025-01-01,1,12211.79,13520.0,12211.79,South,C0426,10,Cash on Delivery,Delivered,Mobile App,0,1,0,normal,0,2025-01-01,Dell Electronics Product 014,Dell Electronics Product 014 designed for reliable retail use.,Electronics,Dell,13520.0,13520.0,0.233,2024-03-24 00:00:00,0.0127281368821292,10 days return,How long does delivery take?,Delivery usually takes 2 to 5 business days.,Average product but acceptable for the price.,32,Female,Bengaluru,South,Loyal,3.59,715,0.261,Web,12211.79,13520.0,South,South,1,1,2,2025,2025-01
O03329,P079,2025-01-01,2,304.48,340.0,608.96,Central,C0197,10,Cash on Delivery,Delivered,Mobile App,0,1,0,normal,0,2025-01-01,Britannia Grocery Product 079,Britannia Grocery Product 079 designed for reliable retail use.,Grocery,Britannia,340.0,340.0,0.296,2024-11-06 00:00:00,0.0097433460076045,15 days return,Is cash on delivery available?,Delivery usually takes 2 to 5 business days.,Average product but acceptable for the price.,37,Female,Jabalpur,Central,Premium,4.33,34,0.227,Mobile App,304.48,340.0,Central,Central,1,1,2,2025,2025-01
O03433,P099,2025-01-01,20,5156.24,3090.0,103124.8,East,C0184,15,Net Banking,Shipped,Mobile App,0,1,1,high_value_order,1,2025-01-01,AllenSolly Fashion Product 099,AllenSolly Fashion Product 099 designed for reliable retail use.,Fashion,AllenSolly,3090.0,3090.0,0.245,2024-11-01 00:00:00,0.0152281368821292,No return on opened pack,How long does delivery take?,Warranty depends on category and seller policy.,Excellent customer experience and packaging.,22,Male,Kolkata,East,Regular,1.46,543,0.565,Web,5156.24,3090.0,East,East,1,1,2,2025,2025-01
O03734,P080,2025-01-01,6,18094.72,19100.0,108568.32,West,C0174,5,Net Banking,Delivered,Mobile App,0,1,0,normal,0,2025-01-01,Philips Home Product 080,Philips Home Product 080 designed for reliable retail use.,Home,Philips,19100.0,19100.0,0.112,2024-10-22 00:00:00,0.0114733840304182,15 days return,Is this product eligible for return?,Returns are accepted if product is unused.,Excellent customer experience and packaging.,50,Female,Ahmedabad,West,Loyal,5.72,757,0.271,Web,18094.72,19100.0,West,West,1,1,2,2025,2025-01
O03900,P100,2025-01-01,2,523.42,590.0,1046.84,South,C0056,10,UPI,Cancelled,Web,0,1,0,normal,0,2025-01-01,Philips Home Product 100,Philips Home Product 100 designed for reliable retail use.,Home,Philips,590.0,590.0,0.272,2024-02-02 00:00:00,0.0090684410646387,7 days replacement,Is cash on delivery available?,COD may be available depending on region.,Excellent customer experience and packaging.,28,Male,Coimbatore,South,Premium,4.54,222,0.296,Mobile App,523.42,590.0,South,South,1,1,2,2025,2025-01
